start_time,end_time,id,val
2019-11-01 22:39:12.504970,2019-11-01 22:48:33.935243,22,1
2019-11-02 17:30:54.880107,2019-11-02 22:48:12.304676,22,1
2019-11-03 16:27:46.251175,2019-11-03 22:26:36.590475,22,1
2019-11-04 06:26:46.258378,2019-11-04 09:39:11.887938,22,1
2019-11-04 17:19:29.706486,2019-11-04 22:29:10.541175,22,1
2019-11-05 06:34:59.664905,2019-11-05 09:55:44.376832,22,1
2019-11-05 19:07:31.975529,2019-11-05 22:05:36.151308,22,1
2019-11-05 22:05:46.459335,2019-11-05 22:08:57.210784,22,1
2019-11-06 06:28:14.041333,2019-11-06 10:03:07.291113,22,1
2019-11-06 17:09:22.988782,2019-11-06 22:50:03.419312,22,1
2019-11-07 06:47:05.241124,2019-11-07 08:44:42.606403,22,1
2019-11-07 08:45:03.223778,2019-11-07 08:45:08.400715,22,1
2019-11-07 18:33:30.973596,2019-11-07 20:01:08.925208,22,1
2019-11-07 20:01:14.065691,2019-11-07 22:29:25.488523,22,1
2019-11-08 06:41:51.703412,2019-11-08 08:10:11.916759,22,1
2019-11-08 17:22:27.759549,2019-11-08 23:58:23.151370,22,1
2019-11-09 07:48:22.268515,2019-11-09 09:26:46.426397,22,1
2019-11-09 19:51:53.516440,2019-11-09 23:27:30.665947,22,1
2019-11-10 00:54:22.844354,2019-11-10 00:55:50.498812,22,1
2019-11-10 00:59:48.023058,2019-11-10 01:00:13.795551,22,1
2019-11-10 16:52:55.274146,2019-11-10 23:23:00.604077,22,1
2019-11-10 23:23:10.916704,2019-11-10 23:23:46.995857,22,1
2019-11-11 06:10:26.375570,2019-11-11 06:57:58.891163,22,1
2019-11-11 06:58:04.009331,2019-11-11 07:57:28.145833,22,1
2019-11-11 17:21:53.926133,2019-11-11 22:41:14.069236,22,1
2019-11-11 22:41:24.380899,2019-11-11 22:55:23.800128,22,1
2019-11-12 06:22:14.464375,2019-11-12 08:04:18.322227,22,1
2019-11-12 18:23:56.234732,2019-11-12 21:32:56.901611,22,1
2019-11-13 05:27:02.938327,2019-11-13 05:31:51.353060,22,1
2019-11-13 06:02:50.590836,2019-11-13 07:47:12.383038,22,1
2019-11-13 17:12:33.814328,2019-11-13 22:02:49.333070,22,1
2019-11-14 06:40:38.894118,2019-11-14 07:52:29.632983,22,1
2019-11-14 07:52:34.787682,2019-11-14 07:52:50.251774,22,1
2019-11-14 17:16:13.665303,2019-11-14 20:01:23.763212,22,1
2019-11-14 20:05:57.518015,2019-11-14 22:22:53.699702,22,1
2019-11-15 06:22:44.868346,2019-11-15 09:58:48.759700,22,1
2019-11-15 10:18:48.756333,2019-11-15 11:12:48.809590,22,1
2019-11-15 16:41:10.392861,2019-11-15 23:58:52.998407,22,1
2019-11-16 17:00:24.646941,2019-11-16 21:59:58.761052,22,1
2019-11-16 22:02:17.851649,2019-11-16 22:02:49.258946,22,1
2019-11-17 16:47:10.511086,2019-11-17 21:46:10.546571,22,1
2019-11-18 06:18:13.178834,2019-11-18 08:03:07.788703,22,1
2019-11-18 17:15:23.163408,2019-11-18 21:56:11.452431,22,1
2019-11-19 06:46:43.682911,2019-11-19 08:08:12.320622,22,1
2019-11-19 17:24:03.718861,2019-11-19 18:15:05.217931,22,1
2019-11-19 18:15:10.378011,2019-11-19 22:17:44.844615,22,1
2019-11-20 06:50:05.572647,2019-11-20 08:27:35.701161,22,1
2019-11-20 16:46:23.136698,2019-11-20 22:15:15.170925,22,1
2019-11-21 06:20:19.188161,2019-11-21 08:22:47.090155,22,1
2019-11-21 17:37:59.519169,2019-11-21 22:24:36.281892,22,1
2019-11-22 06:44:47.167365,2019-11-22 08:07:11.917366,22,1
2019-11-22 17:25:07.348119,2019-11-23 00:23:00.716007,22,1
2019-11-23 08:36:51.060064,2019-11-23 09:44:29.336995,22,1
2019-11-23 16:59:59.612492,2019-11-23 22:11:43.977398,22,1
2019-11-23 22:11:49.125483,2019-11-23 22:13:47.499683,22,1
2019-11-24 18:10:19.982096,2019-11-24 19:46:59.607424,22,1
2019-11-24 19:47:04.760391,2019-11-24 22:12:08.698118,22,1
2019-11-24 22:12:34.511786,2019-11-24 23:20:12.362017,22,1
2019-11-24 23:29:49.177864,2019-11-24 23:31:52.967295,22,1
2019-11-25 06:09:35.496550,2019-11-25 08:57:41.028583,22,1
2019-11-25 16:41:14.156022,2019-11-25 22:18:16.471064,22,1
2019-11-26 06:35:56.832188,2019-11-26 08:16:32.900178,22,1
2019-11-26 17:37:27.131561,2019-11-26 22:17:36.396030,22,1
2019-11-27 06:44:31.185774,2019-11-27 08:04:25.290357,22,1
2019-11-27 16:52:06.797243,2019-11-27 22:24:38.761187,22,1
2019-11-27 22:24:43.899629,2019-11-27 22:27:08.169908,22,1
2019-11-28 05:58:38.494529,2019-11-28 09:55:44.182061,22,1
2019-11-28 18:35:00.060054,2019-11-28 22:58:42.327143,22,1
2019-11-29 05:59:41.407507,2019-11-29 09:15:18.884112,22,1
2019-11-29 16:55:10.032805,2019-11-29 22:35:43.094597,22,1
2019-11-29 23:41:19.245377,2019-11-30 00:09:13.751132,22,1
2019-11-30 05:44:15.990222,2019-11-30 09:02:10.902999,22,1
2019-11-30 16:21:08.307209,2019-11-30 22:38:55.185455,22,1
2019-11-30 22:40:17.422193,2019-11-30 22:40:22.558826,22,1
2019-12-01 00:29:12.691387,2019-12-01 00:50:50.361097,22,1
2019-12-01 16:18:49.721351,2019-12-01 22:10:12.335444,22,1
2019-12-01 22:11:34.650154,2019-12-01 22:57:20.023705,22,1
2019-12-02 06:41:20.286660,2019-12-02 06:46:49.790980,22,1
2019-12-02 06:49:14.782972,2019-12-02 07:57:08.654652,22,1
2019-12-02 07:57:13.819315,2019-12-02 07:57:18.969025,22,1
2019-12-02 16:22:09.596527,2019-12-02 17:13:54.640305,22,1
2019-12-02 17:13:59.798573,2019-12-02 22:27:06.809695,22,1
2019-12-03 06:08:04.978797,2019-12-03 09:53:13.369228,22,1
2019-12-03 10:02:14.502591,2019-12-03 10:02:19.650276,22,1
2019-12-03 17:09:20.593066,2019-12-03 22:02:25.403350,22,1
2019-12-04 06:37:02.849670,2019-12-04 08:16:21.522474,22,1
2019-12-04 16:46:30.908074,2019-12-04 21:20:56.283821,22,1
2019-12-05 06:08:13.839865,2019-12-05 11:09:32.031252,22,1
2019-12-05 18:09:49.158616,2019-12-05 22:21:24.887993,22,1
2019-12-05 22:21:30.032190,2019-12-05 22:26:08.121668,22,1
2019-12-06 06:49:08.054468,2019-12-06 08:52:43.120047,22,1
2019-12-06 08:52:48.271832,2019-12-06 12:44:50.536839,22,1
2019-12-06 17:20:37.941207,2019-12-06 22:50:25.585848,22,1
2019-12-07 07:04:20.234040,2019-12-07 08:42:01.994261,22,1
2019-12-07 15:56:45.090106,2019-12-07 23:33:02.668079,22,1
2019-12-07 23:40:20.299781,2019-12-07 23:42:29.060217,22,1
2019-12-08 07:46:34.534721,2019-12-08 09:49:30.204767,22,1
2019-12-08 16:43:59.437680,2019-12-08 22:13:11.257337,22,1
2019-12-08 22:15:51.075031,2019-12-08 23:02:48.556052,22,1
2019-12-09 06:35:03.630895,2019-12-09 07:17:53.892617,22,1
2019-12-09 07:17:59.061181,2019-12-09 07:18:04.221421,22,1
2019-12-09 12:17:33.983336,2019-12-09 12:17:39.126315,22,1
2019-12-09 17:21:56.895668,2019-12-09 21:45:26.932887,22,1
2019-12-10 06:36:15.139993,2019-12-10 09:15:39.471802,22,1
2019-12-10 16:12:34.003508,2019-12-10 22:24:41.689455,22,1
2019-12-11 06:04:23.968224,2019-12-11 07:19:40.152426,22,1
2019-12-11 07:19:50.421454,2019-12-11 07:19:55.576114,22,1
2019-12-11 17:10:58.820151,2019-12-11 20:50:12.266985,22,1
2019-12-11 20:50:32.798047,2019-12-11 20:53:58.669744,22,1
2019-12-12 06:05:40.271144,2019-12-12 10:23:07.627611,22,1
2019-12-12 16:31:40.739878,2019-12-12 23:41:08.225644,22,1
2019-12-13 07:59:51.046653,2019-12-13 10:07:57.165408,22,1
2019-12-13 16:09:22.632224,2019-12-13 20:06:59.728082,22,1
2019-12-13 20:07:06.685953,2019-12-13 20:07:07.205929,22,1
2019-12-13 20:07:12.332676,2019-12-14 02:32:25.280857,22,1
2019-12-14 09:11:49.021923,2019-12-14 10:08:51.534956,22,1
2019-12-14 16:35:52.875452,2019-12-15 01:13:52.539720,22,1
2019-12-15 07:48:33.095202,2019-12-15 09:14:28.074833,22,1
2019-12-15 15:45:44.243951,2019-12-15 23:51:07.377749,22,1
2019-12-16 06:28:42.692463,2019-12-16 10:29:39.639994,22,1
2019-12-16 17:10:20.004434,2019-12-16 22:24:16.997527,22,1
2019-12-17 06:38:50.355313,2019-12-17 09:29:28.722021,22,1
2019-12-17 17:55:56.212026,2019-12-17 18:09:40.181932,22,1
2019-12-18 06:51:23.539698,2019-12-18 09:42:22.567561,22,1
2019-12-18 17:09:19.033601,2019-12-18 22:33:41.844667,22,1
2019-12-19 05:58:27.070473,2019-12-19 09:17:06.268677,22,1
2019-12-19 16:00:35.985689,2019-12-19 22:26:02.388387,22,1
2019-12-20 06:25:18.654748,2019-12-20 08:55:03.859436,22,1
2019-12-20 16:23:31.039752,2019-12-20 21:17:24.624066,22,1
2019-12-20 21:17:34.961328,2019-12-20 21:18:10.960142,22,1
2019-12-21 07:39:45.459682,2019-12-21 10:40:32.465342,22,1
2019-12-21 12:23:05.929587,2019-12-21 12:24:38.609372,22,1
2019-12-21 16:59:47.347654,2019-12-21 17:23:54.608382,22,1
2019-12-21 17:23:59.748774,2019-12-21 22:49:21.209113,22,1
2019-12-22 06:13:12.164844,2019-12-22 10:07:14.410910,22,1
2019-12-22 21:49:59.783561,2019-12-22 22:15:03.322637,22,1
2019-12-23 06:53:06.738519,2019-12-23 08:19:38.166767,22,1
2019-12-23 17:19:52.186955,2019-12-23 17:24:51.026443,22,1
2019-12-23 17:24:56.178543,2019-12-23 17:28:42.685962,22,1
2019-12-23 19:29:09.374869,2019-12-23 22:00:18.123069,22,1
2019-12-24 06:53:32.549407,2019-12-24 08:17:51.610905,22,1
2019-12-24 09:13:27.844733,2019-12-24 11:00:20.368543,22,1
2019-12-24 14:51:22.269182,2019-12-24 14:51:27.410762,22,1
2019-12-24 15:52:22.349261,2019-12-24 15:52:44.635907,22,1
2019-12-24 23:17:49.823703,2019-12-24 23:17:54.986114,22,1
2019-12-25 09:38:58.532799,2019-12-25 09:39:03.694733,22,1
2019-12-25 15:59:21.521291,2019-12-25 15:59:26.683599,22,1
2019-12-25 17:16:22.135243,2019-12-25 22:14:21.889815,22,1
2019-12-26 07:49:21.998402,2019-12-26 09:54:08.777688,22,1
2019-12-26 17:25:52.637169,2019-12-26 18:31:22.576876,22,1
2019-12-26 18:31:32.894156,2019-12-26 18:31:38.070130,22,1
2019-12-26 18:31:48.337165,2019-12-26 18:31:53.477972,22,1
2019-12-26 18:52:18.799454,2019-12-26 23:42:34.157644,22,1
2019-12-26 23:43:10.240400,2019-12-26 23:43:15.416418,22,1
2019-12-27 08:18:41.166599,2019-12-27 10:54:59.639500,22,1
2019-12-27 16:12:04.154448,2019-12-27 22:55:47.337493,22,1
2019-12-27 22:56:33.725316,2019-12-27 22:56:38.889820,22,1
2019-12-28 08:27:11.920155,2019-12-28 10:31:51.428302,22,1
2019-12-28 18:16:46.967752,2019-12-28 22:44:12.044388,22,1
2019-12-28 22:51:34.986636,2019-12-28 22:52:00.727632,22,1
2019-12-29 01:21:02.003593,2019-12-29 01:21:32.940103,22,1
2019-12-29 07:50:12.257065,2019-12-29 09:40:25.626619,22,1
2019-12-29 16:12:16.930550,2019-12-30 01:15:34.135809,22,1
2019-12-30 16:29:24.980335,2019-12-30 17:24:21.849602,22,1
2019-12-30 17:24:26.962268,2019-12-30 22:56:30.077806,22,1
2019-12-30 22:56:35.203738,2019-12-30 22:57:31.764875,22,1
2019-12-30 23:01:02.983792,2019-12-30 23:19:56.028014,22,1
2019-12-31 06:56:32.229716,2019-12-31 09:49:31.346345,22,1
2019-12-31 16:02:29.902410,2020-01-01 03:01:30.412034,22,1
2020-01-01 03:01:40.663576,2020-01-01 03:01:45.815601,22,1
2020-01-01 03:31:12.614805,2020-01-01 03:49:19.358862,22,1
2020-01-01 16:05:19.885179,2020-01-01 21:01:03.900010,22,1
2020-01-01 21:01:09.061184,2020-01-02 00:01:30.851797,22,1
2020-01-02 06:37:34.802114,2020-01-02 10:27:49.441137,22,1
2020-01-02 16:38:11.315283,2020-01-02 21:18:38.154233,22,1
2020-01-02 21:18:43.250592,2020-01-02 21:57:40.856622,22,1
2020-01-02 22:57:35.743785,2020-01-02 23:03:30.873727,22,1
2020-01-03 08:19:47.665487,2020-01-03 09:42:57.595869,22,1
2020-01-03 11:13:16.771870,2020-01-03 12:16:12.560023,22,1
2020-01-03 15:39:24.109086,2020-01-04 00:17:37.188349,22,1
2020-01-04 07:57:25.866083,2020-01-04 09:03:11.305812,22,1
2020-01-04 16:36:26.037946,2020-01-05 00:28:15.142738,22,1
2020-01-05 00:39:40.575751,2020-01-05 01:29:12.455910,22,1
2020-01-05 08:22:52.241799,2020-01-05 09:02:51.905056,22,1
2020-01-05 09:02:57.063499,2020-01-05 10:54:57.944647,22,1
2020-01-05 16:09:12.351675,2020-01-05 19:02:26.159917,22,1
2020-01-05 19:02:31.319708,2020-01-05 22:03:18.482490,22,1
2020-01-05 22:03:28.796488,2020-01-05 22:05:42.566955,22,1
2020-01-06 06:23:28.560636,2020-01-06 08:05:41.153887,22,1
2020-01-06 17:42:31.357610,2020-01-06 22:36:16.509538,22,1
2020-01-06 22:36:26.769311,2020-01-06 22:37:38.854112,22,1
2020-01-07 06:30:21.017259,2020-01-07 09:11:11.782969,22,1
2020-01-07 17:17:00.698849,2020-01-07 22:26:55.785742,22,1
2020-01-08 06:39:22.771666,2020-01-08 11:19:01.142046,22,1
2020-01-08 17:01:39.227399,2020-01-08 22:06:38.202991,22,1
2020-01-08 22:06:44.711318,2020-01-08 22:07:41.455070,22,1
2020-01-09 06:46:56.897502,2020-01-09 11:02:55.435680,22,1
2020-01-09 17:41:06.645920,2020-01-09 22:48:35.430524,22,1
2020-01-10 06:04:42.448624,2020-01-10 06:32:51.408587,22,1
2020-01-10 06:58:31.072169,2020-01-10 09:43:50.780073,22,1
2020-01-10 17:37:24.234841,2020-01-10 19:29:51.068467,22,1
2020-01-10 19:30:01.382188,2020-01-10 22:26:49.315781,22,1
2020-01-10 22:26:54.469564,2020-01-10 22:27:04.768831,22,1
2020-01-11 07:55:39.335869,2020-01-11 08:26:38.391014,22,1
2020-01-11 08:28:05.941708,2020-01-11 09:51:27.788071,22,1
2020-01-11 16:38:37.383153,2020-01-11 21:08:08.768314,22,1
2020-01-11 21:08:13.944584,2020-01-11 23:09:41.361355,22,1
2020-01-12 08:27:53.826119,2020-01-12 09:58:33.481236,22,1
2020-01-12 17:04:08.666205,2020-01-12 22:53:21.585333,22,1
2020-01-13 06:45:56.262688,2020-01-13 09:22:04.467481,22,1
2020-01-13 18:15:02.020949,2020-01-13 22:12:43.677969,22,1
2020-01-14 06:44:10.336894,2020-01-14 11:35:31.529755,22,1
2020-01-14 17:39:17.897872,2020-01-14 22:04:50.089547,22,1
2020-01-14 22:04:55.265172,2020-01-14 22:05:10.688217,22,1
2020-01-14 22:05:41.554374,2020-01-14 22:05:46.681316,22,1
2020-01-15 07:20:43.509876,2020-01-15 08:41:08.604381,22,1
2020-01-15 16:35:53.018419,2020-01-15 22:14:26.269225,22,1
2020-01-16 06:21:14.002559,2020-01-16 08:52:49.547719,22,1
2020-01-16 17:47:58.421782,2020-01-16 19:51:13.907090,22,1
2020-01-16 19:51:19.045614,2020-01-16 22:01:16.896688,22,1
2020-01-16 22:02:59.900943,2020-01-16 22:03:05.064595,22,1
2020-01-17 05:38:57.209119,2020-01-17 09:58:31.695958,22,1
2020-01-17 10:40:19.718812,2020-01-17 12:36:23.596251,22,1
2020-01-17 17:21:02.469576,2020-01-17 18:58:33.482475,22,1
2020-01-18 18:52:01.346577,2020-01-18 22:32:59.175076,22,1
2020-01-19 08:25:49.500497,2020-01-19 09:27:43.561862,22,1
2020-01-19 17:00:19.993455,2020-01-19 22:16:09.497884,22,1
2020-01-19 22:16:30.109871,2020-01-19 22:18:13.197850,22,1
2020-01-20 06:20:54.264533,2020-01-20 08:31:17.495935,22,1
2020-01-20 17:07:50.760881,2020-01-20 21:20:48.249667,22,1
2020-01-21 06:34:57.502389,2020-01-21 08:25:20.582234,22,1
2020-01-21 16:36:39.084760,2020-01-21 22:24:33.264660,22,1
2020-01-21 22:24:43.594297,2020-01-21 22:25:50.529392,22,1
2020-01-21 22:26:00.852284,2020-01-21 22:28:45.622864,22,1
2020-01-22 06:40:55.889185,2020-01-22 08:31:39.146067,22,1
2020-01-22 18:39:27.959491,2020-01-22 22:16:28.992655,22,1
2020-01-22 22:16:49.556380,2020-01-22 22:18:27.255142,22,1
2020-01-23 06:30:38.965756,2020-01-23 08:28:40.314720,22,1
2020-01-23 17:34:40.271734,2020-01-23 18:31:08.858999,22,1
2020-01-23 18:31:14.032473,2020-01-23 22:32:48.493067,22,1
2020-01-23 22:32:53.661612,2020-01-23 22:42:04.473688,22,1
2020-01-24 06:43:30.035779,2020-01-24 11:01:01.933449,22,1
